"location","source","target"
"pretix/base/models/waitinglist.py:94","This entry is anonymized and can no longer be used.","Dieser Eintrag wurde anonymisiert und kann nicht mehr verwendet werden."
"pretix/base/models/waitinglist.py:104","Automatically created from waiting list entry for {email}","Automatisch erstellt aus der Warteliste für {email}"
"pretix/base/models/waitinglist.py:128","You have been selected from the waitinglist for {event}","Du wurdest von der Warteliste für {event} ausgewählt"
"pretix/base/models/waitinglist.py:144","The selected item does not belong to this event.","Dieser Termin gehört nicht zu dieser Veranstaltungsreihe."
"pretix/base/models/waitinglist.py:146","Please select a specific variation of this product.","Du musst eine Produktvariante auswählen."
"pretix/base/models/waitinglist.py:164","You are already on this waiting list! We will notify you as soon as we have a ticket available for you.","Du bist bereits auf der Warteliste! Wir benachrichtigen dich, sobald wir ein verfügbares Ticket für dich haben."
"pretix/base/notifications.py:121 pretix/base/notifications.py:134","Administrative action required","Administrative Aktion erforderlich"
"pretix/base/notifications.py:135","Something happened in your event that our system cannot handle automatically, e.g. an external refund. You need to resolve it manually or choose to ignore it, depending on the issue at hand.","Bei deiner Veranstaltung ist ein Fall aufgetreten, den das System nicht automatisch behandeln kann, z.B. eine Stornierung in einem externen Zahlungssystem. Du musst das Problem eventuell manuell beheben oder ignorieren."
"pretix/base/notifications.py:139","View all unresolved problems","Alle ungelösten Probleme ansehen"
"pretix/base/notifications.py:180","Pending amount","Offener Betrag"
"pretix/base/notifications.py:182 pretix/control/forms/filter.py:100 pretix/control/forms/filter.py:200","Order status","Bestellstatus"
"pretix/base/notifications.py:184 pretix/base/templates/pretixbase/email/plainwrapper.html:31","View order details","Bestelldetails anzeigen"
"pretix/base/notifications.py:195","A new order has been placed: {order.code}","Eine neue Bestellung ist eingegangen: {order.code}"
"pretix/base/notifications.py:201","A new order has been placed that requires approval: {order.code}","Eine neue Bestellung wartet auf Freigabe: {order.code}"
"pretix/base/notifications.py:207","Order {order.code} has been marked as paid.","Bestellung {order.code} wurde als bezahlt markiert."
"pretix/base/notifications.py:213","Order {order.code} has been canceled.","Bestellung {order.code} wurde storniert."
"pretix/base/notifications.py:219","Order {order.code} has been marked as expired.","Bestellung {order.code} wurde als abgelaufen markiert."
"pretix/base/notifications.py:225","The ticket information of order {order.code} has been changed.","Die Ticket-Informationen der Bestellung {order.code} wurden geändert."
"pretix/base/notifications.py:231","The contact address of order {order.code} has been changed.","Die E-Mail-Adresse der Bestellung {order.code} wurde geändert."
"pretix/base/notifications.py:237","Order {order.code} has been changed.","Die Bestellung {order.code} wurde geändert."
"pretix/base/notifications.py:242","Order has been overpaid","Bestellung wurde überzahlt"
"pretix/base/notifications.py:243","Order {order.code} has been overpaid.","Bestellung {order.code} wurde überzahlt."
"pretix/base/notifications.py:249","An external refund for {order.code} has occurred.","Eine Zahlung für Bestellung {order.code} wurde in einem externen System erstattet."
"pretix/base/notifications.py:254","Refund requested","Erstattung angefordert"
"pretix/base/notifications.py:255","You have been requested to issue a refund for {order.code}.","Eine Erstattung für die Bestellung {order.code} wurde angefordert."
"pretix/base/payment.py:44 pretix/control/forms/event.py:581 pretix/control/forms/event.py:1150","This field is required.","Dieses Feld ist erforderlich."
"pretix/base/payment.py:199","Enable payment method","Aktiviere Zahlungsmethode"
"pretix/base/payment.py:205","Users will not be able to choose this payment provider after the given date.","Käufer können diese Zahlungsmethode nur bis zu (einschließlich) diesem Datum auswählen."
"pretix/base/payment.py:210","Text on invoices","Text auf Rechnungen"
"pretix/base/payment.py:211","Will be printed just below the payment figures and above the closing text on invoices. This will only be used if the invoice is generated before the order is paid. If the invoice is generated later, it will show a text stating that it has already been paid.","Wird unter dem Rechnungsbetrag auf die Rechnung gedruckt. Dieser Text wird nur benutzt, wenn die Rechnung vor Eingang der Bezahlung generiert wird. Wird die Rechnung nach Eingang der Zahlung generiert, erscheint stattdessen ein Text der sagt, dass die Rechnung bereits bezahlt wurde."
"pretix/base/payment.py:220","Minimum order total","Minimaler Gesamtbetrag"
"pretix/base/payment.py:221","This payment will be available only if the order total is equal to or exceeds the given value. The order total for this purpose may be computed without taking the fees imposed by this payment method into account.","Diese Zahlungsmethode wird nur verfügbar sein, wenn der Zahlungsbetrag größer oder gleich dem angegebenen Wert ist. Der Gesamtbetrag wird hierfür gegebenenfalls ohne Einbeziehung eventueller Zahlungsgebühren berechnet."
"pretix/base/payment.py:231","Maximum order total","Maximaler Gesamtbetrag"
"pretix/base/payment.py:232","This payment will be available only if the order total is equal to or below the given value. The order total for this purpose may be computed without taking the fees imposed by this payment method into account.","Diese Zahlungsmethode wird nur verfügbar sein, wenn der Zahlungsbetrag kleiner oder gleich dem angegebenen Wert ist. Der Gesamtbetrag wird hierfür gegebenenfalls ohne Einbeziehung eventueller Zahlungsgebühren berechnet."
"pretix/base/payment.py:242 pretix/base/payment.py:251","Additional fee","Zusätzliche Gebühr"
"pretix/base/payment.py:243","Absolute value","Fester Betrag"
"pretix/base/payment.py:252","Percentage of the order total. Note that this percentage will currently only be calculated on the summed price of sold tickets, not on other fees like e.g. shipping fees, if there are any.","Prozentual vom Gesamtbetrag. Beachte bitte, dass dieser Betrag aktuell nur anhand der Summe der gekauften Tickets berechnet wird, ohne Berücksichtigung anderer Gebühren wie z.B. Versandkosten (falls solche konfiguriert sind)."
"pretix/base/payment.py:260","Calculate the fee from the total value including the fee.","Berechne die Gebühr als Anteil vom Endbetrag."
"pretix/base/payment.py:261","We recommend to enable this if you want your users to pay the payment fees of your payment provider. <a href=""{docs_url}"" target=""_blank"" rel=""noopener"">Click here for detailed information on what this does.</a> Don't forget to set the correct fees above!","Wir empfehlen, diese Option zu aktivieren, wenn du die Gebühren Ihres Zahlungsdienstleisters an Ihre Kunden weitergeben willst. Denk daran, oben die richtigen Gebührensätze des Zahlungsanbieters einzustellen. <a href=""{docs_url}"" target=""_blank"">Weitere Informationen</a>."
"pretix/base/payment.py:269","Restrict to countries","Auf Länder einschränken"
"pretix/base/payment.py:271","Only allow choosing this payment provider for invoice addresses in the selected countries. If you don't select any country, all countries are allowed. This is only enabled if the invoice address is required.","Biete diese Zahlungsmethode nur Leuten an, deren Rechnungsadresse in einem der angegebenen Länder liegt. Wenn keine Länder ausgewählt sind, wird die Zahlungsmethode allen angeboten. Dies ist nur möglich, wenn Rechnungsadressen eingegeben werden müssen."
"pretix/base/payment.py:308 pretix/base/services/invoices.py:57","The payment for this invoice has already been received.","Die Zahlung für diese Rechnung ist bereits eingegangen."
"pretix/base/payment.py:645","Automatic refunds are not supported by this payment provider.","Automatische Rückbuchungen werden von dieser Zahlungsmethode nicht unterstützt."
"pretix/base/payment.py:671","No payment is required as this order only includes products which are free of charge.","Es ist keine Zahlung erforderlich, da diese Bestellung nur kostenlose Produkte enthält."
"pretix/base/payment.py:678","Free of charge","Kostenlos"
"pretix/base/payment.py:705","Box office","Abendkasse"
"pretix/base/payment.py:742 pretix/plugins/manualpayment/__init__.py:9 pretix/plugins/manualpayment/__init__.py:12","Manual payment","Manuelle Zahlung"
"pretix/base/payment.py:746 pretix/plugins/banktransfer/payment.py:114","In test mode, you can just manually mark this order as paid in the backend after it has been created.","Im Testmodus kannst du die Bestellung zum Testen einfach im Backend als bezahlt markieren."
"pretix/base/payment.py:768 pretix/plugins/banktransfer/payment.py:102","Payment method name","Name der Zahlungsmethode"
"pretix/base/payment.py:772","Payment process description during checkout","Beschreibung des Zahlungsvorgangs im Bestellprozess"
"pretix/base/payment.py:773","This text will be shown during checkout when the user selects this payment method. It should give a short explanation on this payment method.","Dieser Text wird während des Bestellvorgangs angezeigt, wenn der Nutzer diese Zahlungsmethode auswählt. Er sollte eine kurze Erklärung der Zahlungsmethode enthalten."
"pretix/base/payment.py:778","Payment process description in order confirmation emails","Beschreibung des Zahlungsvorgangs in Bestellbestätigungs-E-Mails"
"pretix/base/payment.py:779","This text will be included for the {payment_info} placeholder in order confirmation mails. It should instruct the user on how to proceed with the payment. You can usethe placeholders {order}, {total}, {currency} and {total_with_currency}","Dieser Text wird statt des {payment_info}-Platzhalters in Bestellbestätigungen verwendet. Er sollte den Kunden darüber informieren, wie die Zahlung vervollständigt werden kann. Die Platzhalter {order}, {total}, {currency} und {total_with_currency} können verwendet werden."
"pretix/base/payment.py:786","Payment process description for pending orders","Beschreibung des Zahlungsvorgangs für ausstehende Bestellungen"
"pretix/base/payment.py:787","This text will be shown on the order confirmation page for pending orders. It should instruct the user on how to proceed with the payment. You can usethe placeholders {order}, {total}, {currency} and {total_with_currency}","Dieser Text wird auf der Bestellbestätigungsseite angezeigt. Er sollte dem Kunden erklären, wie mit der Zahlung fortzufahren ist. Die Platzhalter {order}, {total}, {currency} und {total_with_currency} können verwendet werden."
"pretix/base/payment.py:833","Offsetting","Verrechnung"
"pretix/base/payment.py:847 pretix/control/views/orders.py:704","You entered an order that could not be found.","Du hast eine unbekannte Bestellnummer eingegeben."
"pretix/base/payment.py:868","Balanced against orders: %s","Verrechnet mit: %s"
"pretix/base/pdf.py:46","Ticket code (barcode content)","Ticket-Code (QR-Code-Inhalt)"
"pretix/base/pdf.py:56 pretix/control/forms/event.py:1384 pretix/control/templates/pretixcontrol/items/index.html:33","Product name","Produktbezeichnung"
"pretix/base/pdf.py:57 pretix/base/services/tickets.py:74 pretix/control/views/event.py:690 pretix/control/views/pdf.py:59","Sample product","Beispielprodukt"
"pretix/base/pdf.py:61","Variation name","Produktvariante"
"pretix/base/pdf.py:62","Sample variation","Beispielvariante"
"pretix/base/pdf.py:66","Product description","Produktbeschreibung"
"pretix/base/pdf.py:67 pretix/base/services/tickets.py:75 pretix/control/views/event.py:691 pretix/control/views/pdf.py:60","Sample product description","Beispielproduktbeschreibung"
"pretix/base/pdf.py:71","Product name and variation","Produkt und Variante"
"pretix/base/pdf.py:72","Sample product – sample variation","Beispielprodukt – Beispielvariante"
"pretix/base/pdf.py:80","Ticket category","Produktkategorie"
"pretix/base/pdf.py:87 pretix/base/pdf.py:92","123.45 EUR","123,45 EUR"
"pretix/base/pdf.py:91","Price including add-ons","Preis inklusive Zusatzprodukte"
"pretix/base/pdf.py:101 pretix/base/pdf.py:187 pretix/base/services/invoices.py:306 pretix/control/views/event.py:627 pretix/control/views/event.py:692 pretix/plugins/sendmail/views.py:102","John Doe","Max Mustermann"
"pretix/base/pdf.py:106","Sample event name","Beispielevent"
"pretix/base/pdf.py:110","Event date","Veranstaltungsdatum"
"pretix/base/pdf.py:111","May 31st, 2017","31. Mai 2017"
"pretix/base/pdf.py:115","Event date range","Veranstaltungsdatum Beginn und Ende"
"pretix/base/pdf.py:116","May 31st – June 4th, 2017","31. Mai – 4. Juni 2017"
"pretix/base/pdf.py:120","Event begin date and time","Veranstaltungsdatum und Uhrzeit"
"pretix/base/pdf.py:121","2017-05-31 20:00","31.05.2016 20:00"
"pretix/base/pdf.py:128","Event begin date","Veranstaltungsdatum"
"pretix/base/pdf.py:129 pretix/base/pdf.py:150 pretix/base/pdf.py:219","2017-05-31","31.05.2016"
"pretix/base/pdf.py:136","Event begin time","Veranstaltungsuhrzeit"
"pretix/base/pdf.py:137","20:00","20:00"
"pretix/base/pdf.py:141","Event end date and time","Veranstaltungsende und Uhrzeit"
"pretix/base/pdf.py:142","2017-05-31 22:00","31.05.2016 22:00"
"pretix/base/pdf.py:149","Event end date","Veranstaltungsenddatum"
"pretix/base/pdf.py:158","22:00","22:00"
"pretix/base/pdf.py:165","Event admission date and time","Einlassdatum und Uhrzeit"
"pretix/base/pdf.py:166 pretix/base/pdf.py:227","2017-05-31 19:00","31.05.2016 19:00"
"pretix/base/pdf.py:173","Event admission time","Veranstaltungs-Berechtigung"
"pretix/base/pdf.py:174 pretix/base/pdf.py:235","19:00","19:00"
"pretix/base/pdf.py:181","Event location","Veranstaltungsort"
"pretix/base/pdf.py:182 pretix/control/forms/event.py:707","Random City","Musterstadt"
"pretix/base/pdf.py:191","Invoice address company","Rechnungsadresse: Firma"
"pretix/base/pdf.py:192 pretix/base/services/tickets.py:90 pretix/control/views/pdf.py:75","Sample company","Musterfirma GmbH"
"pretix/base/pdf.py:196","List of Add-Ons","Liste der Zusatz-Produkte"
"pretix/base/pdf.py:197","Addon 1
Addon 2","Workshop 1
Workshop 2"
"pretix/base/pdf.py:208 pretix/control/forms/filter.py:464 pretix/control/forms/filter.py:466 pretix/control/templates/pretixcontrol/organizers/index.html:35","Organizer name","Veranstaltername"
"pretix/base/pdf.py:209","Event organizer company","Veranstaltername"
"pretix/base/pdf.py:213","Organizer info text","Veranstalter-Infotext"
"pretix/base/pdf.py:214","Event organizer info text","Information zum Veranstalter"
"pretix/base/pdf.py:218","Printing date","Druckdatum"
"pretix/base/pdf.py:226","Printing date and time","Druckdatum und -uhrzeit"
"pretix/base/pdf.py:234","Printing time","Druckzeit"
"pretix/base/pdf.py:261","Question: {question}","Frage: {question}"
"pretix/base/pdf.py:262","<Answer: {question}>","<Antwort: {question}>"
"pretix/base/pdf.py:282 pretix/plugins/badges/exporters.py:108 pretix/plugins/checkinlists/exporters.py:55 pretix/plugins/checkinlists/exporters.py:300 pretix/plugins/ticketoutputpdf/exporters.py:42","Attendee name: {part}","Teilnehmer*innenname: {part}"
"pretix/base/pdf.py:292","Invoice address name: {part}","Rechnungsadresse: Name: {part}"
"pretix/base/pdf.py:430 pretix/plugins/ticketoutputpdf/ticketoutput.py:75","Ticket","Ticket"
"pretix/base/reldate.py:13","Event start","Veranstaltungsbeginn"
"pretix/base/reldate.py:14","Event end","Veranstaltungsende"
"pretix/base/reldate.py:15","Event admission","Einlass"
"pretix/base/reldate.py:16","Presale start","Start des Vorverkaufs"
"pretix/base/reldate.py:17","Presale end","Ende des Vorverkaufs"
"pretix/base/reldate.py:153 pretix/base/reldate.py:247","Fixed date:","Fester Zeitpunkt:"
"pretix/base/reldate.py:154 pretix/base/reldate.py:248","Relative date:","Relativ:"
"pretix/base/reldate.py:162 pretix/base/reldate.py:251","Not set","Nicht gesetzt"
"pretix/base/services/cart.py:48 pretix/base/services/orders.py:66","We were not able to process your request completely as the server was too busy. Please try again.","Wir waren nicht in der Lage, deine Anfrage zu verarbeiten, da der Server zu beschäftigt war. Bitte versuche es erneut."
"pretix/base/services/cart.py:50 pretix/presale/views/cart.py:156","You did not select any products.","Du hast nichts ausgewählt."
"pretix/base/services/cart.py:51","Unknown cart position.","Unbekannte Warenkorbposition."
"pretix/base/services/cart.py:52","No date was specified.","Es wurde kein Termin ausgewählt."
"pretix/base/services/cart.py:53","You selected a product which is not available for sale.","Du hast ein Produkt ausgewählt, das nicht zum Verkauf steht."
"pretix/base/services/cart.py:54","Some of the products you selected are no longer available. Please see below for details.","Einige der ausgewählten Produkte sind zwischenzeitlich nicht mehr verfügbar, bitte überprüfe deinen Warenkorb."
"pretix/base/services/cart.py:56","Some of the products you selected are no longer available in the quantity you selected. Please see below for details.","Einige der ausgewählten Produkte sind zwischenzeitlich nicht mehr in der gewünschten Anzahl verfügbar, bitte überprüfe deinen Warenkorb."
"pretix/base/services/cart.py:58","You cannot select more than %s items per order.","Du kannst nicht mehr als %s Produkte pro Bestellung auswählen."
"pretix/base/services/cart.py:59","You cannot select more than %(max)s items of the product %(product)s.","Du kannst das Produkt %(product)s höchstens %(max)s mal pro Bestellung auswählen."
"pretix/base/services/cart.py:60","You need to select at least %(min)s items of the product %(product)s.","Du musst das Produkt %(product)s mindestens %(min)s mal auswählen."
"pretix/base/services/cart.py:61","We removed %(product)s from your cart as you can not buy less than %(min)s items of it.","Wir haben das Produkt %(product)s aus deinem Warenkorb entfernt, da es nicht weniger als %(min)s mal gekauft werden kann."
"pretix/base/services/cart.py:63 pretix/base/services/orders.py:68","The presale period for this event has not yet started.","Die Anmeldung für diese Veranstaltung hat noch nicht begonnen."
"pretix/base/services/cart.py:64","The presale period for this event has ended.","Der Anmeldezeitraum für diese Veranstaltung ist vorüber."
"pretix/base/services/cart.py:65","The presale period for this event has not yet started. The affected positions have been removed from your cart.","Die Anmeldung für diese Veranstaltung hat noch nicht begonnen. Die betroffenen Auswahlen wurden aus dem Warenkorb entfernt."
"pretix/base/services/cart.py:67 pretix/base/services/orders.py:81","The presale period for one of the events in your cart has ended. The affected positions have been removed from your cart.","Die Anmeldung für eine der Veranstaltungen im Warenkorb ist nun vorüber. Die betroffenen Auswahlen wurden entfernt."
"pretix/base/services/cart.py:69","The entered price is to high.","Der eingegebene Preis ist zu hoch."
"pretix/base/services/cart.py:70","This voucher code is not known in our database.","Dieser Gutscheincode ist uns nicht bekannt."
"pretix/base/services/cart.py:71","This voucher code has already been used the maximum number of times allowed.","Dieser Gutschein kann nicht mehr verwendet werden, da er bereits zu oft eingelöst wurde."
"pretix/base/services/cart.py:72","This voucher code is currently locked since it is already contained in a cart. This might mean that someone else is redeeming this voucher right now, or that you tried to redeem it before but did not complete the checkout process. You can try to use it again in %d minutes.","Dieser Gutscheincode ist im Moment gesperrt, da er bereits in einem Warenkorb ist. Das bedeutet entweder, dass gerade jemand anderes diesen Gutschein einlöst, oder dass du ihn bereits zuvor eingegeben hast, aber den Kauf nicht abgeschlossen hast. Du kannst es in %d Minuten erneut versuchen."
"pretix/base/services/cart.py:76","This voucher code can only be redeemed %d more times.","Dieser Gutschein kann nur noch %d mal eingelöst werden."
"pretix/base/services/cart.py:77","You already used this voucher code. Remove the associated line from your cart if you want to use it for a different product.","Du hast diesen Gutscheincode bereits benutzt. Entferne die entsprechende Zeile aus deinem Warenkorb, um ihn für ein anderes Produkt verwenden zu können."
"pretix/base/services/cart.py:79","This voucher is expired.","Dieser Gutschein ist abgelaufen."
"pretix/base/services/cart.py:80","This voucher is not valid for this product.","Dieser Gutschein gilt nicht für dieses Produkt."
"pretix/base/services/cart.py:82","Your voucher is valid for a product that is currently not for sale.","Dein Gutschein gilt für ein Produkt, das aktuell nicht zum Verkauf steht."
"pretix/base/services/cart.py:83","This voucher is not valid for this event date.","Dieser Gutschein ist für diesen Termin nicht gültig."
"pretix/base/services/cart.py:84","You need a valid voucher code to order this product.","Du brauchst einen gültigen Gutscheincode, um dieses Produkt zu bestellen."
"pretix/base/services/cart.py:85","The selected event date is not active.","Der ausgewählte Termin ist nicht aktiv."
"pretix/base/services/cart.py:86","You can not select an add-on for the selected product.","Du kannst für das ausgewählte Produkt kein Zusatzprodukt auswählen."
"pretix/base/services/cart.py:87","You can not select two variations of the same add-on product.","Du kannst nur eine Variante von jedem Zusatzprodukt auswählen."
"pretix/base/services/cart.py:88","You can select at most %(max)s add-ons from the category %(cat)s for the product %(base)s.","Du kannst maximal %(max)s Zusatzprodukte aus der Kategorie %(cat)s für das Produkt %(base)s auswählen."
"pretix/base/services/cart.py:89","You need to select at least %(min)s add-ons from the category %(cat)s for the product %(base)s.","Du musst mindestens %(min)s Zusatzprodukte aus der Kategorie %(cat)s für das Produkt %(base)s auswählen."
"pretix/base/services/cart.py:91","One of the products you selected can only be bought as an add-on to another project.","Eins der ausgewählten Produkte kann nur als Zusatz zu einem anderen Produkt erworben werden."
"pretix/base/services/cart.py:92","One of the products you selected can only be bought part of a bundle.","Eins der ausgewählten Produkte wird nicht einzeln verkauft, sondern nur als Teil anderer Produkte."
"pretix/base/services/checkin.py:95","This order position has been canceled.","Die Bestellposition wurde storniert."
"pretix/base/services/checkin.py:109","This order position has an invalid product for this check-in list.","Diese Bestellposition hat ein für diese Liste ungültiges Produkt."
"pretix/base/services/checkin.py:116","This order is not marked as paid.","Die Bestellung ist nicht als bezahlt markiert."
"pretix/base/services/checkin.py:121","You need to answer questions to complete this check-in.","Du musst Fragen beantworten, um den Check-In abzuschließen."
"pretix/base/services/checkin.py:147","This ticket has already been redeemed.","Das Ticket wurde bereits eingelöst."
"pretix/base/services/invoices.py:68","{i.company}
{i.name}
{i.street}
{i.zipcode} {i.city}
{country}","{i.company}
{i.name}
{i.street}
{i.zipcode} {i.city}
{country}"
"pretix/base/services/invoices.py:139","Attendee: {name}","Teilnehmer*in: {name}"
"pretix/base/services/invoices.py:141 pretix/plugins/reports/exporters.py:198","Date: {}","Termin: {}"
"pretix/base/services/invoices.py:157","Reverse Charge: According to Article 194, 196 of Council Directive 2006/112/EEC, VAT liability rests with the service recipient.","Die Steuerschuldnerschaft liegt beim Leistungsempfänger."
"pretix/base/services/invoices.py:300","A payment provider specific text might appear here.","Hier kann ein spezifischer Text über einen Zahlungsanbieter erscheinen."
"pretix/base/services/invoices.py:307","214th Example Street","Musterstraße 214"
"pretix/base/services/invoices.py:308","012345","012345"
"pretix/base/services/invoices.py:309","Sample city","Musterstadt"
"pretix/base/services/invoices.py:324","Sample product {}","Beispielprodukt {}"
"pretix/base/services/invoices.py:330","Sample product A","Beispielprodukt A"
"pretix/base/services/mail.py:137","You are receiving this email because you placed an order for {event}.","Du erhältst diese E-Mail, weil du eine Bestellung für die Veranstaltung {event} getätigt hast."
"pretix/base/services/mail.py:141","You can view your order details at the following URL:
{orderurl}.","Du kannst deine Bestellung unter folgender Adresse einsehen:
{orderurl}."
"pretix/base/services/orders.py:56","Some of the products you selected were no longer available. Please see below for details.","Einige der ausgewählten Produkte waren zwischenzeitlich nicht mehr verfügbar, bitte überprüfe deinen Warenkorb."
"pretix/base/services/orders.py:58","Some of the products you selected were no longer available in the quantity you selected. Please see below for details.","Einige der ausgewählten Produkte waren zwischenzeitlich nicht mehr in der gewünschten Anzahl verfügbar, bitte überprüfe deinen Warenkorb."
"pretix/base/services/orders.py:60","The price of some of the items in your cart has changed in the meantime. Please see below for details.","Der Preis einiger Produkte in deinem Warenkorb hat sich zwischenzeitlich geändert."
"pretix/base/services/orders.py:62","An internal error occurred, please try again.","Ein interner Fehler ist aufgetreten, bitte erneut versuchen."
"pretix/base/services/orders.py:63","Your cart is empty.","Dein Warenkorb ist leer."
"pretix/base/services/orders.py:64","You cannot select more than %(max)s items of the product %(product)s. We removed the surplus items from your cart.","Du kannst das Produkt %(product)s höchstens %(max)s mal pro Bestellung auswählen. Wir haben die überschüssigen Produkte aus deinem Warenkorb entfernt."
"pretix/base/services/orders.py:69","The presale period has ended.","Der Vorverkaufszeitraum ist vorüber."
"pretix/base/services/orders.py:70","The voucher code used for one of the items in your cart is not known in our database.","Der Gutscheincode, der für eins der Produkte in deinem Warenkorb benutzt wurde, wurde nicht gefunden."
"pretix/base/services/orders.py:71","The voucher code used for one of the items in your cart has already been used the maximum number of times allowed. We removed this item from your cart.","Der Gutscheincode, der für eins der Produkte in deinem Warenkorb benutzt wurde, wurde bereits zu oft verwendet. Wir haben das entsprechende Produkt aus dem Warenkorb entfernt."
"pretix/base/services/orders.py:73","The voucher code used for one of the items in your cart is expired. We removed this item from your cart.","Der Gutscheincode, der für eins der Produkte in deinem Warenkorb benutzt wurde, ist abgelaufen. Wir haben das entsprechende Produkt aus dem Warenkorb entfernt."
"pretix/base/services/orders.py:75","The voucher code used for one of the items in your cart is not valid for this item. We removed this item from your cart.","Der Gutscheincode, der für eins der Produkte in deinem Warenkorb benutzt wurde, ist nicht für dieses Produkt gültig. Wir haben das entsprechende Produkt aus dem Warenkorb entfernt."
"pretix/base/services/orders.py:77","You need a valid voucher code to order one of the products in your cart. We removed this item from your cart.","Eins der Produkte in deinem Warenkorb erfordert einen gültigen Gutschein, um gekauft werden zu können. Wir haben das entsprechende Produkt aus dem Warenkorb entfernt."
"pretix/base/services/orders.py:79","The presale period for one of the events in your cart has not yet started. The affected positions have been removed from your cart.","Der Gutscheincode, der für eins der Produkte in deinem Warenkorb benutzt wurde, ist nicht für dieses Produkt gültig. Wir haben die betroffenen Produkte aus dem Warenkorb entfernt."
"pretix/base/services/orders.py:99 pretix/control/forms/orders.py:48","The new expiry date needs to be in the future.","Die neue Frist muss in der Zukunft liegen."
"pretix/base/services/orders.py:173 pretix/base/services/orders.py:252","This order is not pending approval.","Diese Bestellung wartet nicht auf Freigabe."
"pretix/base/services/orders.py:214","Order approved and confirmed: %(code)s","Bestellung bestätigt: %(code)s"
"pretix/base/services/orders.py:217","Order approved and awaiting payment: %(code)s","Bestellung freigegeben und wartet auf Bezahlung: %(code)s"
"pretix/base/services/orders.py:294","Order denied: %(code)s","Bestellung abgelehnt: %(code)s"
"pretix/base/services/orders.py:328 pretix/presale/views/order.py:585 pretix/presale/views/order.py:617","You cannot cancel this order.","Du kannst diese Anmeldung nicht stornieren."
"pretix/base/services/orders.py:354 pretix/control/forms/orders.py:108","The cancellation fee cannot be higher than the payment credit of this order.","Die Stornogebühr darf nicht größer sein als der Betrag, der für diese Bestellung bereits bezahlt wurde."
"pretix/base/services/orders.py:384","Order canceled: %(code)s","Bestellung storniert: %(code)s"
"pretix/base/services/orders.py:803","Your order is about to expire: %(code)s","Deine Bestellung läuft bald ab: %(code)s"
"pretix/base/services/orders.py:805","Your order is pending payment: %(code)s","Deine Bestellung wurde noch nicht bezahlt: %(code)s"
"pretix/base/services/orders.py:850","Your ticket is ready for download: %(code)s","Dein Ticket ist zum Download verfügbar: %(code)s"
"pretix/base/services/orders.py:863","You need to select a variation of the product.","Du musst eine Produktvariante auswählen."
"pretix/base/services/orders.py:864","The quota {name} does not have enough capacity left to perform the operation.","Das Kontingent {name} hat nicht genug freie Kapazität für diese Änderung."
"pretix/base/services/orders.py:865","There is no quota defined that allows this operation.","Es ist kein Kontingent definiert, das diese Operation erlaubt."
"pretix/base/services/orders.py:866","The selected product is not active or has no price set.","Das ausgewählte Produkt ist nicht aktiv oder hat keinen Preis."
"pretix/base/services/orders.py:867","This operation would leave the order empty. Please cancel the order itself instead.","Diese Änderung würde die Bestellung leer hinterlassen. Bitte storniere die Bestellung stattdessen."
"pretix/base/services/orders.py:868","Only pending or paid orders can be changed.","Nur ausstehende oder bezahlte Bestellungen können verändert werden."
"pretix/base/services/orders.py:869","This operation would make the order free and therefore immediately paid, however no quota is available.","Diese Änderung würde die Bestellung kostenlos machen und damit sofort als bezahlt markieren, es ist jedoch kein Kontingent verfügbar."
"pretix/base/services/orders.py:871","This is an add-on product, please select the base position it should be added to.","Dieses Produkt ist nur als Zusatzprodukt verfügbar, bitte wähle die Basisposition zu der es hinzugefügt werden soll."
"pretix/base/services/orders.py:872","The selected base position does not allow you to add this product as an add-on.","Dieses Zusatzprodukt kann nicht zu diesem Basisprodukt hinzugefügt werden."
"pretix/base/services/orders.py:873","You need to choose a subevent for the new position.","Du musst einen Termin auswählen."
"pretix/base/services/orders.py:1351","Your order has been changed: %(code)s","Deine Bestellung wurde geändert: %(code)s"
"pretix/base/services/orders.py:1479","There was an error while trying to send the money back to you. Please contact the event organizer for further information.","Es gab einen Fehler bei der automatischen Erstattung der Zahlung. Bitte kontaktiere den Veranstalter für weitere Informationen."
"pretix/base/services/shredder.py:73","The download file could no longer be found on the server, please try to start again.","Die Download-Datei konnte nicht mehr auf dem Server gefunden werden, bitte versuche es erneut."
"pretix/base/services/shredder.py:77","This file is from a different event.","Diese Datei gehört zu einer anderen Veranstaltung."
"pretix/base/services/shredder.py:79","The confirm code you entered was incorrect.","Der eingegebene Bestätigungscode war nicht korrekt."
"pretix/base/services/shredder.py:81","Something happened in your event after the export, please try again.","Nach dem Start des Exports haben sich in der Veranstaltung Dinge verändert, bitte erneut versuchen."
"pretix/base/services/stats.py:130","Uncategorized","Unkategorisiert"
"pretix/base/services/tickets.py:76 pretix/control/views/pdf.py:61","Sample workshop","Beispielworkshop"
"pretix/base/services/update_check.py:90","pretix update available","pretix-Update verfügbar"
